book_id,title,category_id,library_id,publisher_id,author_id,quantity
B-001,It's Only the Himalayas,C-01,L-08,P-12,A-189,1
B-002,Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,C-01,L-06,P-39,A-44,9
B-003,See America: A Celebration of Our National Parks & Treasured Sites,C-01,L-02,P-48,A-287,9
B-004,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,C-01,L-05,P-48,A-152,2
B-005,Under the Tuscan Sun,C-01,L-04,P-44,A-138,7
B-006,A Summer In Europe,C-01,L-08,P-54,A-85,10
B-007,The Great Railway Bazaar,C-01,L-05,P-34,A-191,5
B-008,A Year in Provence (Provence #1),C-01,L-01,P-40,A-317,6
B-009,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),C-01,L-03,P-15,A-330,6
B-010,Neither Here nor There: Travels in Europe,C-01,L-08,P-54,A-09,5
B-011,"1,000 Places to See Before You Die",C-01,L-02,P-30,A-15,3
B-012,Sharp Objects,C-02,L-03,P-08,A-343,3
B-013,"In a Dark, Dark Wood",C-02,L-03,P-02,A-201,6
B-014,The Past Never Ends,C-02,L-08,P-10,A-120,8
B-015,A Murder in Time,C-02,L-07,P-26,A-131,4
B-016,The Murder of Roger Ackroyd (Hercule Poirot #4),C-02,L-01,P-14,A-192,2
B-017,The Last Mile (Amos Decker #2),C-02,L-01,P-37,A-172,6
B-018,That Darkness (Gardiner and Renner #1),C-02,L-05,P-15,A-142,5
B-019,Tastes Like Fear (DI Marnie Rome #3),C-02,L-04,P-34,A-268,10
B-020,A Time of Torment (Charlie Parker #14),C-02,L-08,P-09,A-232,5
B-021,A Study in Scarlet (Sherlock Holmes #1),C-02,L-02,P-45,A-291,2
B-022,Poisonous (Max Revere Novels #3),C-02,L-07,P-53,A-220,3
B-023,Murder at the 42nd Street Library (Raymond Ambler #1),C-02,L-02,P-13,A-148,3
B-024,Most Wanted,C-02,L-06,P-14,A-37,7
B-025,Hide Away (Eve Duncan #20),C-02,L-05,P-12,A-195,10
B-026,Boar Island (Anna Pigeon #19),C-02,L-07,P-38,A-302,3
B-027,The Widow,C-02,L-07,P-56,A-15,10
B-028,Playing with Fire,C-02,L-08,P-36,A-124,5
B-029,What Happened on Beale Street (Secrets of the South Mysteries #2),C-02,L-04,P-39,A-217,6
B-030,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),C-02,L-08,P-25,A-323,10
B-031,Delivering the Truth (Quaker Midwife Mystery #1),C-02,L-03,P-52,A-182,2
B-032,The Mysterious Affair at Styles (Hercule Poirot #1),C-02,L-05,P-47,A-172,1
B-033,In the Woods (Dublin Murder Squad #1),C-02,L-08,P-52,A-261,10
B-034,The Silkworm (Cormoran Strike #2),C-02,L-07,P-58,A-96,5
B-035,The Exiled,C-02,L-07,P-25,A-194,5
B-036,The Cuckoo's Calling (Cormoran Strike #1),C-02,L-01,P-02,A-336,10
B-037,Extreme Prey (Lucas Davenport #26),C-02,L-08,P-25,A-50,6
B-038,Career of Evil (Cormoran Strike #3),C-02,L-02,P-15,A-242,5
B-039,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),C-02,L-01,P-26,A-209,4
B-040,The Girl You Lost,C-02,L-05,P-45,A-117,4
B-041,The Girl In The Ice (DCI Erika Foster #1),C-02,L-02,P-54,A-164,4
B-042,Blood Defense (Samantha Brinkman #1),C-02,L-08,P-14,A-274,6
B-043,1st to Die (Women's Murder Club #1),C-02,L-04,P-21,A-253,9
B-044,Tipping the Velvet,C-03,L-05,P-26,A-244,5
B-045,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,C-03,L-06,P-58,A-253,7
B-046,A Flight of Arrows (The Pathfinders #2),C-03,L-02,P-27,A-81,6
B-047,The House by the Lake,C-03,L-08,P-24,A-256,9
B-048,Mrs. Houdini,C-03,L-07,P-60,A-147,6
B-049,The Marriage of Opposites,C-03,L-03,P-12,A-69,3
B-050,Glory over Everything: Beyond The Kitchen House,C-03,L-04,P-48,A-361,5
B-051,"Love, Lies and Spies",C-03,L-06,P-04,A-170,2
B-052,A Paris Apartment,C-03,L-04,P-39,A-284,10
B-053,Lilac Girls,C-03,L-03,P-09,A-156,6
B-054,The Constant Princess (The Tudor Court #1),C-03,L-06,P-12,A-200,3
B-055,The Invention of Wings,C-03,L-04,P-48,A-11,7
B-056,World Without End (The Pillars of the Earth #2),C-03,L-01,P-50,A-215,2
B-057,The Passion of Dolssa,C-03,L-03,P-53,A-89,10
B-058,Girl With a Pearl Earring,C-03,L-04,P-11,A-54,9
B-059,Voyager (Outlander #3),C-03,L-06,P-03,A-202,7
B-060,The Red Tent,C-03,L-05,P-60,A-143,10
B-061,The Last Painting of Sara de Vos,C-03,L-02,P-53,A-288,4
B-062,The Guernsey Literary and Potato Peel Pie Society,C-03,L-01,P-52,A-74,10
B-063,Girl in the Blue Coat,C-03,L-01,P-10,A-233,7
B-064,Between Shades of Gray,C-03,L-08,P-08,A-100,7
B-065,While You Were Mine,C-03,L-02,P-16,A-128,8
B-066,The Secret Healer,C-03,L-08,P-09,A-296,6
B-067,Starlark,C-03,L-06,P-36,A-348,6
B-068,Lost Among the Living,C-03,L-04,P-03,A-243,7
B-069,A Spy's Devotion (The Regency Spies of London #1),C-03,L-02,P-34,A-235,6
B-070,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),C-04,L-08,P-16,A-353,9
B-071,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),C-04,L-06,P-22,A-286,5
B-072,This One Summer,C-04,L-08,P-60,A-250,4
B-073,The Nameless City (The Nameless City #1),C-04,L-04,P-55,A-07,1
B-074,"Saga, Volume 5 (Saga (Collected Editions) #5)",C-04,L-02,P-32,A-242,4
B-075,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",C-04,L-07,P-08,A-142,1
B-076,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",C-04,L-05,P-17,A-86,9
B-077,"Pop Gun War, Volume 1: Gift",C-04,L-07,P-40,A-86,5
B-078,Patience,C-04,L-08,P-29,A-323,7
B-079,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",C-04,L-05,P-56,A-56,5
B-080,orange: The Complete Collection 1 (orange: The Complete Collection #1),C-04,L-02,P-01,A-283,6
B-081,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",C-04,L-06,P-31,A-230,9
B-082,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",C-04,L-08,P-39,A-174,4
B-083,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),C-04,L-01,P-36,A-221,8
B-084,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",C-04,L-04,P-54,A-222,9
B-085,I am a Hero Omnibus Volume 1,C-04,L-07,P-53,A-350,3
B-086,"Giant Days, Vol. 2 (Giant Days #5-8)",C-04,L-08,P-44,A-296,7
B-087,Danganronpa Volume 1,C-04,L-03,P-24,A-120,4
B-088,"Codename Baboushka, Volume 1: The Conclave of Death",C-04,L-05,P-36,A-91,3
B-089,Camp Midnight,C-04,L-03,P-47,A-03,6
B-090,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",C-04,L-01,P-49,A-280,6
B-091,The Shadow Hero (The Shadow Hero),C-04,L-06,P-24,A-169,6
B-092,"Fables, Vol. 1: Legends in Exile (Fables #1)",C-04,L-02,P-33,A-163,10
B-093,Batman: The Long Halloween (Batman),C-04,L-06,P-13,A-118,1
B-094,Batman: The Dark Knight Returns (Batman),C-04,L-03,P-05,A-99,7
B-095,"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",C-04,L-07,P-08,A-333,2
B-096,"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",C-04,L-03,P-01,A-237,7
B-097,Through the Woods,C-04,L-03,P-33,A-212,3
B-098,Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),C-04,L-05,P-02,A-354,6
